run_id,run_label,ligand_set,row_type,family,tier,variant,method,display_label,source,ligands,total_confs,mean_confs_per_ligand,generated_ligands,selected_ligands,kept_ligands,selected_pool_total,kept_confs_total,pb_fail_total,target_confs_mean,pb_fail_rate_mean,kept_vs_target_rate_mean,generated_candidates_total,finite_rejected_total,clash_rejected_total,bond_rejected_total,stereo_rejected_total,rmsd_rejected_total,pre_clash_passed_total,minimization_input_confs_total,minimization_failed_total,pairwise_mean,pairwise_p90,mean_torsion_std_deg,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_opt_best_rmsd,casf_opt_median_rmsd,total_clusters_0p5,mean_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,total_clusters_1p0,mean_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,total_clusters_2p0,mean_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,total_clusters_3p0,mean_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,clash_fail_total,clash_fail_rate,pb_fail_rate,ligands_scope
loqi_core,LOQI (core),core,generation,loqi_raw,fixed,,loqi_raw_fixed,LOQI,loqi_raw_fixed,94,89964.0,957.063829787234,94.0,94.0,90.0,94000.0,89964.0,4036.0,1000.0,0.04293617021276596,0.957063829787234,94000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,1.0901268475665573,1.672256322579576,106.68272092988106,32.167983731136566,51.130218732620676,37.921712307950386,2.913481759708429,0.34147456573410195,1.3051912448505025,0.3902058063802261,1.3266282652701535,7753.0,86.14444444444445,8.620931394878546,0.7008959687342128,0.32634904675526055,52.372374292566995,0.26781813230887763,0.19207207087824402,1863.0,20.7,2.0711917223976597,0.631567593777897,0.4829544097284505,10.322633034776896,0.4232036392550078,0.06389584571717184,253.0,2.811111111111111,0.2812362449360284,0.36327738461296766,0.769885297318292,2.0285927789695695,0.733535241030585,0.010854381638695362,117.0,1.3,0.1300514699809476,0.16174264938487876,0.9303946957007259,1.1894480411906587,0.912974373096639,0.0,0.5555555555555556,0.8222222222222222,0.8555555555555555,1.0,0.5111111111111111,0.7777777777777778,0.8666666666666667,0.9888888888888889,,,,94/957
loqi_core,LOQI (core),core,generation,loqi_raw,dynamic,,loqi_raw_dynamic,LOQI,loqi_raw_dynamic,94,9017.0,95.92553191489361,94.0,94.0,90.0,9428.0,9017.0,411.0,100.29787234042553,0.04306131882632002,0.95693868117368,94000.0,0.0,0.0,0.0,0.0,0.0,9428.0,0.0,0.0,1.0912552502359671,1.6706384409252575,101.70742819526772,32.95983188528051,46.95117896341451,37.88007848091661,2.862166415224467,0.464423057581225,1.2745549572462345,0.5080996436938356,1.2995815564968352,2808.0,31.2,24.46450293382168,0.7532452051816227,0.35692691591681247,23.927240827725754,0.29278145573854003,0.2895102794613672,1028.0,11.422222222222222,11.024511197211218,0.6514846991037507,0.5113644597943361,7.649660864887958,0.4492808361400146,0.12446381678432032,214.0,2.3777777777777778,4.614600389477232,0.32387913587526024,0.8058735086356269,1.8194628203066716,0.7714202719840936,0.023713323713323714,112.0,1.2444444444444445,3.8195098836168175,0.14163402536137654,0.9404031160542554,1.1622300788527558,0.9246333827974917,0.007407407407407407,0.4777777777777778,0.7333333333333333,0.8222222222222222,0.9888888888888889,0.43333333333333335,0.6888888888888889,0.8,0.9777777777777777,,,,94/96
loqi_core,LOQI (core),core,generation,loqi_raw,chembl_count,,loqi_raw_chembl_count,LOQI,loqi_raw_chembl_count,94,7109.0,75.62765957446808,94.0,94.0,90.0,9917.0,7109.0,2808.0,115.19148936170212,0.0425531914893617,0.9574468085106383,94000.0,0.0,0.0,0.0,0.0,0.0,9917.0,0.0,0.0,1.2075277903689956,1.7853475197365207,90.24945491247621,33.36753975525682,46.11100022626374,38.061709164197694,2.9414439596999395,0.5296421867623299,1.290110269963802,0.5738040090203639,1.310582302651741,2258.0,25.08888888888889,43.582612385748696,0.7402184085359326,0.3903087447352576,19.196490606708497,0.3340059133875954,0.43670258305933296,843.0,9.366666666666667,28.23057537929929,0.6363484830177045,0.5338408738003576,6.472646553044097,0.4703562593878648,0.24971767023393168,198.0,2.2,18.553979579774825,0.36775832402208203,0.8032298484614055,1.7969156505318302,0.7639480604804701,0.10746913580246914,109.0,1.211111111111111,17.05929101527079,0.12641498558171677,0.9517578644291386,1.1400653803374623,0.9351279190380071,0.08888888888888889,0.3888888888888889,0.6666666666666666,0.7444444444444445,0.9666666666666667,0.35555555555555557,0.6444444444444445,0.7555555555555555,0.9555555555555556,,,,94/76
mcf_drugs_l_core,MCF drugs-L (core),core,generation,mcf_drugs_l_raw,fixed,,mcf_drugs_l_raw_fixed,MCF drugs-L,mcf_drugs_l_raw_fixed,94,80883.0,860.4574468085107,94.0,94.0,93.0,94000.0,80883.0,13117.0,1000.0,0.13954255319148937,0.8604574468085107,94000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,1.331417812350555,1.9582802077814634,106.86537256470109,35.729947836942834,45933.01903748836,46.21163320294811,1747.0296113558938,0.3872355355099043,1.4593421768616528,0.43903068026273256,1.4866754639798156,10118.0,108.79569892473118,16.702734811332324,0.7867831300376467,0.24899078792625773,77.69623326048686,0.19885451950401872,0.26437140538896403,3131.0,33.666666666666664,6.406671748376655,0.7129216578147206,0.40618528383528535,22.1786572297816,0.3522406298943917,0.10517400738993123,382.0,4.10752688172043,2.3451860412540504,0.4782751771030846,0.6868022753631198,3.1848227470915393,0.644500148368004,0.027093371027807983,140.0,1.5053763440860215,1.6324193916119882,0.25869695076481536,0.8799293745833835,1.3771824836829902,0.853353764147242,0.010752688172043012,0.46236559139784944,0.7526881720430108,0.8494623655913979,1.0,0.43010752688172044,0.7204301075268817,0.8387096774193549,0.989247311827957,,,,94/860
mcf_drugs_l_core,MCF drugs-L (core),core,generation,mcf_drugs_l_raw,dynamic,,mcf_drugs_l_raw_dynamic,MCF drugs-L,mcf_drugs_l_raw_dynamic,94,6220.0,66.17021276595744,94.0,94.0,91.0,7514.0,6220.0,1294.0,79.93617021276596,0.14452549738265313,0.8554745026173468,94000.0,0.0,0.0,0.0,0.0,0.0,7514.0,0.0,0.0,1.325630593269802,1.9212308488354537,101.76717061674849,37.25764990341849,475.86151088458274,46.01068572923349,67.19761231429311,0.5478559787810214,1.467007417436173,0.5936809358137408,1.4895846182610306,2971.0,32.64835164835165,42.60188778916498,0.8355092789479881,0.2821555043251913,28.478622353160183,0.22678677425646315,0.4105253742173365,1421.0,15.615384615384615,22.8810858609012,0.7228078704473477,0.4418028564121929,12.700360609190986,0.3871958206738546,0.17647550795002823,293.0,3.21978021978022,8.544126679143996,0.44411422720152255,0.7160233365073536,2.6918079568982844,0.6750358594890323,0.03090441304727019,128.0,1.4065934065934067,6.3125001239767595,0.23029879728863492,0.9000470856532887,1.3032485017291013,0.8765906131884204,0.013736263736263736,0.34065934065934067,0.5934065934065934,0.7472527472527473,0.978021978021978,0.3516483516483517,0.5824175824175825,0.7252747252747253,0.967032967032967,,,,94/66
mcf_drugs_l_core,MCF drugs-L (core),core,generation,mcf_drugs_l_raw,chembl_count,,mcf_drugs_l_raw_chembl_count,MCF drugs-L,mcf_drugs_l_raw_chembl_count,94,6249.0,66.47872340425532,94.0,94.0,93.0,9917.0,6249.0,3668.0,115.19148936170212,0.13323497825787692,0.8667530037096796,94000.0,0.0,0.0,0.0,0.0,0.0,9917.0,0.0,0.0,1.4336369436443135,2.053958632762938,89.2477209709881,38.3482536158423,722.1513806491859,46.25742231966334,64.18826903882618,0.5762162922688578,1.4409795351021768,0.6170748899478986,1.4686822369291894,2915.0,31.344086021505376,56.808356561117485,0.7983245352482298,0.3409032454565603,26.826678983143825,0.2954065037646354,0.5403488068661454,1308.0,14.064516129032258,36.871340056301605,0.6796309766788035,0.4863466348858957,11.168872293652822,0.4295463302469936,0.2999594794868958,278.0,2.989247311827957,21.844103789069642,0.4322309038954955,0.7341684272012338,2.526438237683701,0.6906791802994178,0.13091693252983574,120.0,1.2903225806451613,18.810624316799572,0.1870468011937997,0.9175603862115197,1.2433442581608642,0.8994772367951498,0.1003584229390681,0.21505376344086022,0.5376344086021505,0.7096774193548387,0.989247311827957,0.24731182795698925,0.5268817204301075,0.7096774193548387,0.978494623655914,,,,94/66
nextmol_dmt_l_core,NextMol DMT-L (core),core,generation,nextmol_dmt_l_raw,fixed,,nextmol_dmt_l_raw_fixed,NextMol DMT-L,nextmol_dmt_l_raw_fixed,94,80926.0,860.9148936170212,94.0,94.0,93.0,94000.0,80926.0,13074.0,1000.0,0.13908510638297872,0.8609148936170212,94000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,1.3116701386662346,1.9564828454881844,108.64717828407586,33.96503235053523,185.99249992308293,41.27136996184184,8.098519018507455,0.3953983473399152,1.454407717126032,0.45026563371447426,1.478594940924332,9649.0,103.75268817204301,15.60749299517538,0.7778542682898963,0.25826125554290646,74.39953891525097,0.2109820442563896,0.2344379685611677,2886.0,31.032258064516128,5.706327329061925,0.7175414524612681,0.40857729768747425,20.35472135757165,0.3548758054491899,0.0933055479706119,363.0,3.903225806451613,1.4284139472530815,0.46304860786179997,0.6962066657097451,2.8858051814962606,0.6525708686249134,0.013213457425981144,136.0,1.4623655913978495,0.7318941529890464,0.2418062939747241,0.8905245743709257,1.3248299573112936,0.8636404237187172,0.0,0.46236559139784944,0.7526881720430108,0.8494623655913979,0.989247311827957,0.3978494623655914,0.7526881720430108,0.8387096774193549,0.978494623655914,,,,94/861
nextmol_dmt_l_core,NextMol DMT-L (core),core,generation,nextmol_dmt_l_raw,dynamic,,nextmol_dmt_l_raw_dynamic,NextMol DMT-L,nextmol_dmt_l_raw_dynamic,94,6295.0,66.96808510638297,94.0,94.0,92.0,7514.0,6295.0,1219.0,79.93617021276596,0.13551440346053523,0.8644855965394648,94000.0,0.0,0.0,0.0,0.0,0.0,7514.0,0.0,0.0,1.3005134211814549,1.904674604348767,103.82363272322152,35.15976155331278,60.58826820557255,41.16382457818864,4.864892793948784,0.557644238028784,1.4615769818126736,0.6067076630454828,1.4797769684556459,2892.0,31.434782608695652,41.11319643963379,0.8122129946054197,0.30213186368577427,27.23677079481647,0.25488750800910487,0.39617849518728243,1353.0,14.706521739130435,22.805704831160657,0.6978537772203042,0.45506548694729965,11.842364821368825,0.4040016990745409,0.1639904148028215,281.0,3.0543478260869565,9.582815451793497,0.45652986531878825,0.7267403639055764,2.5131238616337943,0.6772635852410276,0.026623205170115925,127.0,1.3804347826086956,7.40980864701678,0.24044803810108664,0.8969133515019668,1.2946284554492027,0.8723979786936052,0.01358695652173913,0.33695652173913043,0.6304347826086957,0.7608695652173914,0.9891304347826086,0.31521739130434784,0.6086956521739131,0.75,0.9782608695652174,,,,94/67
nextmol_dmt_l_core,NextMol DMT-L (core),core,generation,nextmol_dmt_l_raw,chembl_count,,nextmol_dmt_l_raw_chembl_count,NextMol DMT-L,nextmol_dmt_l_raw_chembl_count,94,6118.0,65.08510638297872,94.0,94.0,92.0,9917.0,6118.0,3799.0,115.19148936170212,0.14350876828936596,0.8564633463063127,94000.0,0.0,0.0,0.0,0.0,0.0,9917.0,0.0,0.0,1.4464680182072014,2.0914133708543923,91.26230989312268,35.30097417289719,60.96694217067685,40.74133158292667,4.465339056651897,0.5520845563387533,1.460441858483577,0.6031041418517296,1.485052648881743,2854.0,31.02173913043478,57.219314437676466,0.8015053946309488,0.3311194226605152,26.792488888509496,0.2793304225615259,0.5399241324665383,1284.0,13.956521739130435,36.591085074906076,0.68854741972801,0.4691328281124,11.227745799415883,0.4119557046022766,0.30410433399111725,278.0,3.0217391304347827,20.518023609367056,0.4557795113726297,0.7311746949229372,2.4299906499557196,0.6798236278793255,0.11556779441940122,124.0,1.3478260869565217,17.423998652752136,0.20862277062409096,0.9127448864193893,1.2572607816157308,0.8901337440731971,0.08695652173913043,0.32608695652173914,0.5434782608695652,0.7608695652173914,0.9891304347826086,0.2608695652173913,0.5760869565217391,0.7608695652173914,0.9782608695652174,,,,94/65
qwen_0p6b_4e_from_bigdata_step29600_core,Qwen 0.6B 4e from bigdata step 29600 (core),core,generation,qwen_0p6b_4e_from_bigdata_step29600,fixed,0p6b_4e_from_bigdata_step29600,qwen_0p6b_4e_from_bigdata_step29600_fixed,Qwen 0.6B 4e from bigdata (step 29600),qwen_0p6b_4e_from_bigdata_step29600_fixed,94,78482.0,834.9148936170212,94.0,94.0,91.0,93787.0,78482.0,15305.0,1000.0,0.16379868461991126,0.8349148936170213,93787.0,0.0,0.0,0.0,0.0,0.0,93787.0,0.0,0.0,1.3427552552960162,1.9349505834637823,105.14149636847918,46.88111904029246,303443.37774187926,67.06010861848775,11585.599981432146,0.42982608958926044,1.4841068191193574,0.45859422443465464,1.4971665666713747,16818.0,184.8131868131868,27.020831217668608,0.8220371006005704,0.1975329028111297,145.97166887754096,0.1460466258327085,0.3538291575108127,4521.0,49.68131868131868,7.853708436357181,0.6910668484163778,0.3678472728953757,34.03420097880103,0.3088188639563745,0.14397869442880545,448.0,4.923076923076923,0.7502834916637509,0.4924477727379854,0.6767090723340491,3.4941168022520417,0.6246556580264642,0.01797742508374587,143.0,1.5714285714285714,0.22088246213614857,0.24732156367086505,0.8876871614767522,1.4028944769986489,0.8573482485800121,0.0015698587127158548,0.5164835164835165,0.7252747252747253,0.8351648351648352,0.989010989010989,0.4725274725274725,0.7362637362637363,0.8241758241758241,0.978021978021978,,,,94/835
